stop_id,stop_name,address
est_4_129,ALTO DE EXTREMADURA,"ALTO DE EXTREMADURA,Paseo de Extremadura 154"
est_4_130,LUCERO,"LUCERO,Calle de las Higueras 47"
est_4_259,ARGANZUELA-PLANETARIO,"ARGANZUELA-PLANETARIO,Calle del Bronce 1 A"
est_4_132,LAS MUSAS,"LAS MUSAS,Avda de Niza 61"
est_4_133,SAN BLAS,"SAN BLAS,Calle de Pobladura del Valle 27"
est_4_134,SIMANCAS,"SIMANCAS,Calle del Castillo de Madrigal de las Altas Torres 15"
est_4_135,GARCIA NOBLEJAS,"GARCIA NOBLEJAS,Calle de Luis del Campo 1"
est_4_136,ASCAO,"ASCAO,Calle de Ascao 29"
est_4_138,BARRIO DE LA CONCEPCION,"BARRIO DE LA CONCEPCION,Calle de Martínez Villergas 1"
est_4_139,PARQUE DE LAS AVENIDAS,"PARQUE DE LAS AVENIDAS,Avda de Bruselas 56"
est_4_140,CARTAGENA,"CARTAGENA,Avda de América 35"
est_4_142,GREGORIO MARAÑON,"GREGORIO MARAÑON,Calle de José Abascal 65"
est_4_143,ALONSO CANO,"ALONSO CANO,Calle de José Abascal 18"
est_4_145,ISLAS FILIPINAS,"ISLAS FILIPINAS,Calle de Cea Bermúdez 54"
est_4_147,FRANCOS RODRIGUEZ,"FRANCOS RODRIGUEZ,Avda de Pablo Iglesias 87"
est_4_148,VALDEZARZA,"VALDEZARZA,Calle de San Restituto 70"
est_4_149,ANTONIO MACHADO,"ANTONIO MACHADO,Calle de Valderrodrigo 55"
est_4_150,PEÑAGRANDE,"PEÑAGRANDE,Cmno de Ganapanes 35"
est_4_151,AVENIDA DE LA ILUSTRACION,"AVENIDA DE LA ILUSTRACION,Calle de las Islas Cíes 23"
est_4_152,LACOMA,"LACOMA,Calle de Riscos de Polanco 3"
est_4_153,ARROYOFRESNO,"ARROYOFRESNO,Calle de Federica Montseny 2"
est_4_154,PITIS,"PITIS,Ctra a la Estación de Pitis 19"
est_4_286,ESTADIO METROPOLITANO,"ESTADIO METROPOLITANO,Avda de Arcentales 28"
est_4_287,BARRIO DEL PUERTO,"BARRIO DEL PUERTO,Avda de España 8"
est_4_288,COSLADA CENTRAL,"COSLADA CENTRAL,Calle del Doctor Fleming 41"
est_4_289,LA RAMBLA,"LA RAMBLA,Calle   Honduras 2"
est_4_290,SAN FERNANDO,"SAN FERNANDO,Calle de Gonzalo de Córdoba 24"
est_4_291,JARAMA,"JARAMA,Plaza   Guernica 1"
est_4_292,HENARES,"HENARES,Avda de Algorta 12"
est_4_296,HOSPITAL DEL HENARES,"HOSPITAL DEL HENARES,Cmno del Tiro SN"
est_90_33,Aeropuerto T4,"Aeropuerto T4,Ctra de Alcobendas a Barajas SN"
est_90_34,Aeropuerto T1 - T2 - T3,"Aeropuerto T1 - T2 - T3,Avda de la Hispanidad SN"
est_4_156,COLOMBIA,"COLOMBIA,Calle del Príncipe de Vergara 258"
est_4_158,FERIA DE MADRID,"FERIA DE MADRID,Avda del Partenón 5"
est_4_160,BARAJAS,"BARAJAS,Cmno  Viejo de Hortaleza 10"
est_4_258,PINAR DEL REY,"PINAR DEL REY,Avda de la Gran Vía de Hortaleza 47"
est_4_161,HERRERA ORIA,"HERRERA ORIA,Calle de Valencia de Don Juan 1"
est_4_162,BARRIO DEL PILAR,"BARRIO DEL PILAR,Calle de Ginzo de Limia 22"
est_4_163,VENTILLA,"VENTILLA,Avda de Asturias 39"
est_4_165,DUQUE DE PASTRANA,"DUQUE DE PASTRANA,Calle de Mateo Inurria 41"
est_4_166,PIO XII,"PIO XII,Avda de Pío XII 27"
est_4_168,CONCHA ESPINA,"CONCHA ESPINA,Calle del Príncipe de Vergara 210"
est_4_169,CRUZ DEL RAYO,"CRUZ DEL RAYO,Calle del Príncipe de Vergara 138"
est_4_173,IBIZA,"IBIZA,Calle de Ibiza 1"
est_4_175,ESTRELLA,"ESTRELLA,Calle del Camino de los Vinateros 1"
est_4_176,VINATEROS,"VINATEROS,Calle del Camino de los Vinateros 70"
est_4_177,ARTILLEROS,"ARTILLEROS,Calle del Camino de los Vinateros 210"
est_4_178,PAVONES,"PAVONES,Calle de la Hacienda de Pavones 342"
est_4_179,VALDEBERNARDO,"VALDEBERNARDO,Bulv de Indalecio Prieto 26"
est_4_180,VICALVARO,"VICALVARO,Calle de San Cipriano 11"
est_4_181,SAN CIPRIANO,"SAN CIPRIANO,Calle de San Cipriano 68"
est_4_182,PUERTA DE ARGANDA,"PUERTA DE ARGANDA,Calle de San Cipriano 85"
est_4_183,RIVAS URBANIZACIONES,"RIVAS URBANIZACIONES,Plaza de Galicia 5"
est_4_184,RIVAS VACIAMADRID,"RIVAS VACIAMADRID,Calle   Areneros 6"
est_4_185,LA POVEDA,"LA POVEDA,Parcela   9017 Polígono 1 S/N"
est_4_186,ARGANDA DEL REY,"ARGANDA DEL REY,Paseo de la Estación 37"
est_4_300,RIVAS FUTURA,"RIVAS FUTURA,Calle   Concepción Arenal 1"
est_4_326,MIRASIERRA,"MIRASIERRA,Avda del Ventisquero de la Condesa 28"
est_4_345,PACO DE LUCIA,"PACO DE LUCIA,Calle de Monasterio de Las Huelgas 5"
est_4_187,FUENCARRAL,"FUENCARRAL,Calle de la Fuente Chica 21"
est_4_188,BEGOÑA,"BEGOÑA,Paseo de la Castellana 261"
est_4_191,CUZCO,"CUZCO,Paseo de la Castellana 162"
est_4_192,SANTIAGO BERNABEU,"SANTIAGO BERNABEU,Paseo de la Castellana 97"
est_4_199,LAGO,"LAGO,Ronda del Lago 3"
est_4_200,BATAN,"BATAN,Paseo de la Venta 1"
est_4_202,COLONIA JARDIN,"COLONIA JARDIN,Calle de Arenas de San Pedro 2"
est_4_203,CUATRO VIENTOS,"CUATRO VIENTOS,Col   Militar de Cuatro Vientos 6 B"
est_4_204,JOAQUIN VILUMBRALES,"JOAQUIN VILUMBRALES,Avda de la Libertad 13"
est_4_205,PUERTA DEL SUR,"PUERTA DEL SUR,Avda de la Libertad 2"
est_4_257,AVIACION ESPAÑOLA,"AVIACION ESPAÑOLA,Paseo de Extremadura 463"
est_4_274,TRES OLIVOS,"TRES OLIVOS,Acces   M-607 SN"
est_4_275,MONTECARMELO,"MONTECARMELO,Avda de Monasterio de Silos 63 A"
est_4_276,LAS TABLAS,"LAS TABLAS,Calle de Palas de Rey 30"
est_4_277,RONDA DE LA COMUNICACION,"RONDA DE LA COMUNICACION,Ronda de la Comunicación 22"
est_4_278,LA GRANJA,"LA GRANJA,Calle de Sepúlveda 1"
est_4_279,LA MORALEJA,"LA MORALEJA,Avda de la Ermita 5"
est_4_280,MARQUES DE LA VALDAVIA,"MARQUES DE LA VALDAVIA,Calle del Marqués de la Valdavia 21"
est_4_281,MANUEL DE FALLA,"MANUEL DE FALLA,Calle   Manuel de Falla 59"
est_4_282,BAUNATAL,"BAUNATAL,Avda de las Lomas del Rey 2"
est_4_283,REYES CATOLICOS,"REYES CATOLICOS,Avda de la Plaza de Toros 7"
est_4_284,HOSPITAL INFANTA SOFIA,"HOSPITAL INFANTA SOFIA,Paseo   Europa 11"
est_4_207,ABRANTES,"ABRANTES,Avda de Abrantes 77"
est_4_208,PAN BENDITO,"PAN BENDITO,Avda de Abrantes 289"
est_4_254,SAN FRANCISCO,"SAN FRANCISCO,Avda de los Poblados 102"
est_4_255,CARABANCHEL ALTO,"CARABANCHEL ALTO,Avda de Carabanchel Alto 40"
est_4_256,LA PESETA,"LA PESETA,Calle de Salvador Allende 3"
est_4_305,LA FORTUNA,"LA FORTUNA,Calle   San José 40"
est_4_210,PARQUE LISBOA,"PARQUE LISBOA,Calle de Porto Lagos 7"
est_4_211,ALCORCON CENTRAL,"ALCORCON CENTRAL,Avda de Móstoles 12"
est_4_212,PARQUE OESTE,"PARQUE OESTE,Calle de Estambul 5"
est_4_213,UNIVERSIDAD REY JUAN CARLOS,"UNIVERSIDAD REY JUAN CARLOS,Calle   Tulipán 2"
est_4_214,MOSTOLES CENTRAL,"MOSTOLES CENTRAL,Paseo de la Estación 13"
est_4_215,PRADILLO,"PRADILLO,Calle de Agustina de Aragón 23"
est_4_216,HOSPITAL DE MOSTOLES,"HOSPITAL DE MOSTOLES,Calle del Río Sella 10"
est_4_217,MANUELA MALASAÑA,"MANUELA MALASAÑA,Plaza   Sol de 9001 SN"
est_4_218,LORANCA,"LORANCA,Calle de la Alegría 4"
est_4_219,HOSPITAL DE FUENLABRADA,"HOSPITAL DE FUENLABRADA,Cmno del Molino 3"
est_4_220,PARQUE EUROPA,"PARQUE EUROPA,Calle de Francia 34"
est_4_221,FUENLABRADA CENTRAL,"FUENLABRADA CENTRAL,Calle de la Vía SN"
est_4_222,PARQUE DE LOS ESTADOS,"PARQUE DE LOS ESTADOS,Calle de Venezuela 2"
est_4_223,ARROYO CULEBRO,"ARROYO CULEBRO,Paseo de Juan José Rosón 1"
est_4_224,CONSERVATORIO,"CONSERVATORIO,Avda de las Arcas del Agua 5"
est_4_225,ALONSO DE MENDOZA,"ALONSO DE MENDOZA,Calle del Greco 6"
est_4_226,GETAFE CENTRAL,"GETAFE CENTRAL,Calle  Ferrocarril 2"
est_4_227,JUAN DE LA CIERVA,"JUAN DE LA CIERVA,Avda de España 20"
est_4_228,EL CASAR,"EL CASAR,Avda del Casar 2"
est_4_229,LOS ESPARTALES,"LOS ESPARTALES,Avda   Rigoberta Menchú 3"
est_4_230,EL BERCIAL,"EL BERCIAL,Avda   Comandante José Manuel Ripollés 4"
est_4_231,EL CARRASCAL,"EL CARRASCAL,Avda   Rey Juan Carlos I 85"
est_4_232,JULIAN BESTEIRO,"JULIAN BESTEIRO,Avda   Rey Juan Carlos I 23 A"
est_4_233,CASA DEL RELOJ,"CASA DEL RELOJ,Avda   Gibraltar 11"
est_4_234,HOSPITAL SEVERO OCHOA,"HOSPITAL SEVERO OCHOA,Avda   Orellana 3"
est_4_235,LEGANES CENTRAL,"LEGANES CENTRAL,Calle  Virgen del Camino 1"
est_4_236,SAN NICASIO,"SAN NICASIO,Avda   Mar Mediterráneo SN"
