route_id,route_short_name,route_long_name,route_type
6__73___,73,DIEGO DE LEON-FERIA DE MADRID,mode_3
6__74___,74,PINTOR ROSALES-PARQUE AVENIDAS,mode_3
6__75___,75,CALLAO-COLONIA MANZANARES,mode_3
6__76___,76,PLAZA BEATA-VILLAVERDE ALTO,mode_3
6__77___,77,CIUDAD LINEAL-FIN DE SEMANA,mode_3
6__78___,78,EMBAJADORES-SAN FERMIN,mode_3
6__79___,79,LEGAZPI-VILLAVERDE ALTO,mode_3
6__81___,81,OPORTO-HOSPITAL 12 OCTUBRE,mode_3
6__82___,82,MONCLOA-PITIS,mode_3
6__83___,83,MONCLOA-BARRIO DEL PILAR,mode_3
6__85___,85,ESTACION DE ATOCHA-BUTARQUE,mode_3
6__86___,86,EST. ATOCHA-VILLAVERDE ALTO,mode_3
6__87___,87,REP.DOMINICANA-LAS CARCAVAS,mode_3
6__100___,100,MORATALAZ-VALDERRIVAS,mode_3
6__101___,101,CANILLEJAS-BARAJAS,mode_3
6__102___,102,EST. ATOCHA-ESTACION EL POZO,mode_3
6__103___,103,ESTACION EL POZO-ECOBULEVAR,mode_3
6__104___,104,CIUDAD LINEAL-MAR DE CRISTAL,mode_3
6__105___,105,CIUDAD LINEAL-BARAJAS,mode_3
6__106___,106,MANUEL BECERRA-VICALVARO,mode_3
6__107___,107,PLAZA CASTILLA-HORTALEZA,mode_3
6__108___,108,OPORTO-CEMENTERIO CARABANCHEL,mode_3
6__109___,109,CIUDAD LINEAL-CASTILLO UCLES,mode_3
6__110___,110,MANUEL BECERRA-CMTº ALMUDENA,mode_3
6__111___,111,PUENTE VALLECAS-ENTREVIAS,mode_3
6__112___,112,MAR CRISTAL-BARRIO AEROPUERTO,mode_3
6__113___,113,MENDEZ ALVARO-CIUDAD LINEAL,mode_3
6__114___,114,AVENIDA AMERICA-Bº AEROPUERTO,mode_3
6__115___,115,AVENIDA AMERICA-BARAJAS,mode_3
6__116___,116,EMBAJADORES-VILLAVERDE CRUCE,mode_3
6__118___,118,EMBAJADORES-LA PESETA,mode_3
6__119___,119,ATOCHA-BARRIO GOYA,mode_3
6__120___,120,PLAZA LIMA-HORTALEZA,mode_3
6__121___,121,CAMPAMENTO-HOSPITAL 12 OCTUBRE,mode_3
6__122___,122,AVENIDA AMERICA-FERIA MADRID,mode_3
6__123___,123,LEGAZPI-BUTARQUE,mode_3
6__124___,124,CUATRO CAMINOS-LACOMA,mode_3
6__125___,125,MAR CRISTAL-H.RAMON Y CAJAL,mode_3
6__126___,126,N.MINISTERIOS-BARRIO DEL PILAR,mode_3
6__127___,127,CUATRO CAMINOS-C. PERIODISTAS,mode_3
6__128___,128,C. CAMINOS-BARRIO DEL PILAR,mode_3
6__129___,129,PLAZA CASTILLA-MANOTERAS,mode_3
6__130___,130,VILLAVERDE ALTO-VICALVARO,mode_3
6__131___,131,CAMPAMENTO-VILLAVERDE ALTO,mode_3
6__132___,132,MONCLOA-HOSPITAL LA PAZ,mode_3
6__133___,133,CALLAO-MIRASIERRA,mode_3
6__134___,134,PLAZA CASTILLA-MONTECARMELO,mode_3
6__135___,135,PLAZA CASTILLA-H.RAMON Y CAJAL,mode_3
6__136___,136,PACIFICO-MADRID SUR,mode_3
6__137___,137,PUERTA HIERRO-FUENCARRAL,mode_3
6__138___,138,CRISTO REY-SAN IGNACIO,mode_3
6__139___,139,D.PRINCIPE-CARABANCHEL ALTO,mode_3
6__140___,140,PAVONES-CANILLEJAS,mode_3
6__141___,141,EST. ATOCHA-BUENOS AIRES,mode_3
6__142___,142,PAVONES-ENSANCHE VALLECAS,mode_3
6__143___,143,MANUEL BECERRA-VILLA VALLECAS,mode_3
6__144___,144,PAVONES-ENTREVIAS,mode_3
6__145___,145,CONDE CASAL-ENSANCHE VALLECAS,mode_3
6__146___,146,CALLAO-LOS MOLINOS,mode_3
